2026-03-24 18:12:36 | INFO     | mangabuff | ======================================================================
2026-03-24 18:12:36 | INFO     | mangabuff | ПРОВЕРКА АВТОЗАМЕНЫ В ЦИКЛЕ
2026-03-24 18:12:36 | INFO     | mangabuff | Карта: Гобуми (ID: 63034)
2026-03-24 18:12:36 | INFO     | mangabuff | Обработка карты: Гобуми (ID: 63034)
2026-03-24 18:12:37 | INFO     | mangabuff | Начало обработки владельцев карты 63034
2026-03-24 18:12:37 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=10 (норм: 10)
2026-03-24 18:12:37 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2634
2026-03-24 18:12:37 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 10, normalized: 10)
2026-03-24 18:12:37 | DEBUG    | mangabuff | Парсинг карты: Угадайка (ID: 318695)
2026-03-24 18:12:37 | DEBUG    | mangabuff | Карта Угадайка пропущена: 450 желающих
2026-03-24 18:12:38 | DEBUG    | mangabuff | Парсинг карты: Анжелика (ID: 196446)
2026-03-24 18:12:39 | DEBUG    | mangabuff | Карта Анжелика пропущена: 97 желающих
2026-03-24 18:12:39 | DEBUG    | mangabuff | Парсинг карты: Джи Ëнву (ID: 115477)
2026-03-24 18:12:41 | DEBUG    | mangabuff | Карта Джи Ëнву пропущена: 120 желающих
2026-03-24 18:12:41 | DEBUG    | mangabuff | Парсинг карты: Чонвон (ID: 251080)
2026-03-24 18:12:42 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Чонвон (10 желающих) после 4 проверок
2026-03-24 18:12:43 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=10 (норм: 10)
2026-03-24 18:12:43 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2630
2026-03-24 18:12:43 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 10, normalized: 10)
2026-03-24 18:12:43 | DEBUG    | mangabuff | Парсинг карты: Анастасия (ID: 165856)
2026-03-24 18:12:43 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Анастасия (8 желающих) после 1 проверок
2026-03-24 18:12:59 | INFO     | mangabuff | Начало выбора карты: rank=C, target_wanters=10 (норм: 10)
2026-03-24 18:12:59 | INFO     | mangabuff | Доступно непропарсенных карт ранга C: 2629
2026-03-24 18:12:59 | INFO     | mangabuff | Начало парсинга непропарсенных карт (target: 10, normalized: 10)
2026-03-24 18:12:59 | DEBUG    | mangabuff | Парсинг карты: Ноа и Кайл (ID: 92165)
2026-03-24 18:13:00 | DEBUG    | mangabuff | Карта Ноа и Кайл пропущена: 122 желающих
2026-03-24 18:13:00 | DEBUG    | mangabuff | Парсинг карты: Аоко Аодзаки (ID: 43851)
2026-03-24 18:13:01 | DEBUG    | mangabuff | Альтернатива обновлена: Аоко Аодзаки (20)
2026-03-24 18:13:01 | DEBUG    | mangabuff | Парсинг карты: Чахён (ID: 264376)
2026-03-24 18:13:02 | DEBUG    | mangabuff | Карта Чахён пропущена: 81 желающих
2026-03-24 18:13:02 | DEBUG    | mangabuff | Парсинг карты: Лин (ID: 114721)
2026-03-24 18:13:03 | DEBUG    | mangabuff | Парсинг карты: Хлоя Баттенберг (ID: 14112)
2026-03-24 18:13:04 | DEBUG    | mangabuff | Карта Хлоя Баттенберг пропущена: 77 желающих
2026-03-24 18:13:04 | DEBUG    | mangabuff | Парсинг карты: Пак Чхон Га (ID: 198294)
2026-03-24 18:13:04 | INFO     | mangabuff | ✅ ПРИОРИТЕТ 1: Пак Чхон Га (8 желающих) после 6 проверок
2026-03-24 18:13:04 | INFO     | mangabuff | ⚡ Обнаружено прерывание: буст внесён И карта изменилась
2026-03-24 18:13:04 | INFO     | mangabuff | 🎁 Буст был внесён во время обработки!
